问题,答案,分类,命中次数
身子轻如燕，飞在天地间，不怕相隔远，也能把话传（打一动物名）,信鸽,元宵节,0
无脚也无手，身穿鸡皮皱。（打一动物名）,海毛虫,元宵节,0
脚像细牛脚，身像大狗重。行象后生子，须象老大人（打一动物名）,羊,元宵节,0
一只雀，飞上桌，捏尾巴，跳下河（打日常用品）,汤匙,元宵节,0
屋里一座亭，亭中有个人，天天荡秋千，不荡就有病（打一日常用品）,钟摆,元宵节,0
猛将百余人，无事不出城。出城就放火，引火自烧身（打一日常用品）,火柴,元宵节,0
一只八宝袋，样样都能装。能装棉和纱，能装铁和钢（打一日常用品）,针线包,元宵节,0
楼台接楼台，一层一层接起来，上面冒白气，下面水开花（打一日常用品）,蒸笼,元宵节,0
鼻子朝天，嘴巴朝地。敲它一锤，惊天动地（打一日常用品）,大钟,元宵节,0
薄薄一张口，能啃硬骨头。吃肉不喝汤，吃瓜不嚼豆（打一日常用品）,菜刀,元宵节,0
金钩吊银圈，姐妹隔座山。若要来相会，需到天色晚（打一日常用品）,耳环,元宵节,0
带着平顶帽，身穿圆筒袄，虽然一只眼，暗中逞英豪（打一日常用品）,手电筒,元宵节,0
脸儿亮光光，坐在桌子上，妹妹跑过来，请它照个相。（打一日用品）,镜子,元宵节,0
前面来只船，舵手在上边，来时下小雨，走后路已干（打一日常用品）,熨斗,元宵节,0
有面无口，有脚无手。听人讲话，陪人吃酒（打一日常用品）,桌子,元宵节,0
顶破天（打一字）,夫,元宵节,0
头戴红顶帽，身穿白布袄，走路像摇船，说话像驴叫。（猜动物）,鹅,元宵节,0
白天草里住，晚上空中游，金光闪闪动，见尾不见头。 (猜昆虫),萤火虫,元宵节,0
悟空使用的兵器是：,金箍棒,元宵节,0
晚来日沉星点稀。 (字谜),兔,元宵节,0
坐也是卧，立也是卧，行也是卧，卧也是卧。 （猜动物）,蛇,元宵节,0
坐也是行，立也是行，行也是行，卧也是行。（猜动物）,鱼,元宵节,0
坐也是立，立也是立，行也是立，卧也是立。（猜动物）,马,元宵节,0
坐也是坐，立也是坐，行也是坐，卧也是坐。（猜动物）,青蛙,元宵节,0
圆圆像个瓜，人们爱玩他，没有到手抢他，抢到手丢他。( 猜运动器材),篮球,元宵节,0
有风不动无风动，不动无风动有风。（ 猜一物）,扇子,元宵节,0
一条怪牛，两条圆腿，骑他肚上，抓他双角。 （猜交通工具 ）,自行车,元宵节,0
一条小小虫，自己做灯笼，躲在灯笼里，变个飞仙女。 （猜昆虫）,蚕,元宵节,0
黄金布，包银条，中间弯弯两头翘 （猜水果）,香蕉,元宵节,0
盲人摸象（猜一成语）,不识大体,元宵节,0
半耕半读（猜一字）,讲,元宵节,0
身上滑腻腻，喜欢钻河底。张嘴吐泡泡，可以测天气 (打一动物),泥鳅,元宵节,0
娘子娘子，身似盒子。麒麟剪刀，八个钗子。 (打一动物),蟹将,元宵节,0
两眼外秃大嘴巴，有个尾巴比身大，青草假山来相伴，绽放朵朵大红花。（打一动物名）,金鱼,元宵节,0
一把刀，顺水漂，有眼睛，没眉毛。（打一动物名),鱼,元宵节,0
下列翰墨之道得到的书籍中，哪种无法交易和给与他人,拓本,元宵节,0
翰墨之道中，每天抄写和传阅的书籍上限是,10本,元宵节,0
钓鱼大赛的举办时间是,每周四,元宵节,0
天下美食活动在每周一、周三的什么时间开放,19:00,元宵节,0
下列道具中，可以和召唤兽进行“炼化”功能的是,炼妖石,元宵节,0
可为人物装备恢复一定的耐久度的道具是,珍珠,元宵节,0
未领取的回梦丹可以找下列哪个NPC领取,宝石商人,元宵节,0
金属性的如意丹能洗掉召唤兽的1点什么属性,力量,元宵节,0
木属性的如意丹能洗掉召唤兽的1点什么属性,体质,元宵节,0
一颗2级月亮石能为装备提高多少点防御值,12,元宵节,0
